latitud,longitud,victimas,genero,franja_horaria,fecha
-34.62163006,-58.39311376,1.0,1,3,2018-06-03
-34.59082159,-58.43531242,1.0,1,6,2018-06-03
-34.63035454,-58.41178165,1.0,1,6,2018-06-08
-34.60189492,-58.37048800,1.0,1,12,2018-06-08
-34.61964833,-58.39883882,1.0,1,11,2018-06-10
-34.62082399,-58.44110156,1.0,1,1,2018-06-14
-34.59952725,-58.37093138,1.0,0,21,2018-06-16
-34.63953253,-58.45855262,1.0,1,1,2018-06-25
-34.59283447,-58.38161909,1.0,1,17,2018-06-26
-34.58698157,-58.45511899,1.0,1,11,2018-06-28
-34.62973033,-58.37724226,1.0,0,16,2018-06-29
-34.62930339,-58.45546217,1.0,1,9,2018-07-01
-34.59954925,-58.39897064,1.0,1,21,2018-07-04
-34.62126274,-58.40917826,1.0,1,15,2018-07-07
-34.61099738,-58.36726348,1.0,1,17,2018-07-10
-34.68454456,-58.48267426,1.0,1,13,2018-07-11
-34.65168841,-58.39546165,1.0,0,15,2018-07-11
-34.63376545,-58.46941984,1.0,1,6,2018-07-14
-34.58129246,-58.40367321,1.0,1,7,2018-07-15
-34.65014993,-58.52932872,1.0,1,9,2018-07-16
-34.62126274,-58.40917826,1.0,1,23,2018-07-16
-34.59473294,-58.41264127,1.0,1,6,2018-07-21
-34.66977709,-58.50877521,1.0,1,7,2018-07-23
-34.65903530,-58.51232237,1.0,1,22,2018-07-25
-34.64567171,-58.44744156,1.0,1,6,2018-07-29
-34.65869968,-58.49441273,1.0,0,15,2018-08-01
-34.69153196,-58.47976785,1.0,1,5,2018-08-02
-34.62260331,-58.36523349,1.0,1,7,2018-08-03
-34.62704273,-58.39118948,2.0,0,18,2018-08-03
-34.62704273,-58.39118948,2.0,1,18,2018-08-03
-34.65015854,-58.49019551,1.0,1,21,2018-08-10
-34.63023775,-58.41644362,1.0,1,19,2018-08-15
-34.54979510,-58.50073810,1.0,1,16,2018-08-17
-34.63036565,-58.39626094,1.0,1,17,2018-08-17
-34.67051543,-58.43284809,1.0,1,10,2018-08-18
-34.63659934,-58.52280139,1.0,0,18,2018-08-19
-34.59774487,-58.42336930,1.0,1,8,2018-08-20
-34.63105973,-58.38691681,1.0,1,8,2018-08-20
-34.58579880,-58.41169020,1.0,1,5,2018-08-23
-34.65117757,-58.46739825,1.0,0,0,2018-08-26
-34.67152226,-58.44483258,1.0,1,22,2018-08-31
-34.66128115,-58.43254025,1.0,0,10,2018-09-02
-34.69640164,-58.47199387,2.0,1,5,2018-09-09
-34.69640164,-58.47199387,2.0,1,5,2018-09-09
-34.62925068,-58.46411215,1.0,1,14,2018-09-12
-34.62367156,-58.36217754,1.0,0,10,2018-09-20
-34.54073130,-58.48098594,1.0,1,0,2018-09-21
-34.64640709,-58.41083404,1.0,1,0,2018-09-21
-34.64446729,-58.44609828,1.0,1,17,2018-09-27
-34.64035082,-58.37709334,1.0,1,8,2018-10-01
-34.63070603,-58.46963952,1.0,0,18,2018-10-03
-34.55161027,-58.43674281,1.0,1,22,2018-10-04
-34.61011987,-58.40596860,1.0,0,14,2018-10-06
-34.60463618,-58.36154069,1.0,1,14,2018-10-09
-34.60066507,-58.37062179,1.0,1,22,2018-10-10
-34.60207186,-58.43220014,1.0,1,3,2018-10-13
-34.64949724,-58.46958442,1.0,1,12,2018-10-19
-34.59970903,-58.44671397,1.0,0,9,2018-10-24
-34.61474911,-58.47152163,1.0,1,11,2018-10-25
-34.61807951,-58.39032921,1.0,1,2,2018-10-30
-34.64297861,-58.52887773,1.0,1,12,2018-10-31
-34.67981324,-58.49371157,1.0,1,10,2018-11-01
-34.66012327,-58.48266599,1.0,1,8,2018-11-04
-34.60774301,-58.40612253,1.0,0,14,2018-11-05
-34.66292532,-58.43613623,1.0,0,22,2018-11-05
-34.57208238,-58.48250732,1.0,0,13,2018-11-09
-34.63743280,-58.49945705,1.0,0,16,2018-11-09
-34.67233407,-58.47743966,1.0,1,1,2018-11-12
-34.67450313,-58.50251790,1.0,1,3,2018-11-12
-34.63682499,-58.52144411,1.0,1,19,2018-11-15
-34.65084045,-58.41650465,1.0,1,21,2018-11-16
-34.64055918,-58.52994219,1.0,1,12,2018-11-18
-34.56919739,-58.50993046,1.0,1,9,2018-11-19
-34.64592873,-58.52844623,2.0,1,4,2018-11-25
-34.64592873,-58.52844623,2.0,0,4,2018-11-25
-34.58695347,-58.45021367,1.0,1,4,2018-11-28
-34.62770192,-58.49022072,1.0,1,3,2018-12-03
-34.60106568,-58.36860866,1.0,1,19,2018-12-07
-34.57241534,-58.39490504,1.0,1,8,2018-12-12
-34.63070603,-58.46963952,1.0,0,14,2018-12-12
-34.64019887,-58.42349365,1.0,1,21,2018-12-12
-34.61265002,-58.37471802,1.0,1,14,2018-12-18
-34.62913916,-58.46438789,1.0,0,15,2018-12-18
-34.61100424,-58.38481975,1.0,1,20,2018-12-18
